oven_id,timestamp,ml_risk_score,ml_predicted_flag,rule_risk_score,rule_compound_flag
B1-O01,2026-01-15 06:00:00,3.9550153842599444e-08,False,0.0,False
B1-O01,2026-01-15 06:05:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 06:10:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 06:15:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 06:20:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 06:25:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 06:30:00,1.993838650930076e-08,False,0.0,False
B1-O01,2026-01-15 06:35:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 06:40:00,1.993838650930076e-08,False,0.0,False
B1-O01,2026-01-15 06:45:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 06:50:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 06:55:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 07:00:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 07:05:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 07:10:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 07:15:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 07:20:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 07:25:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 07:30:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 07:35:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 07:40:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 07:45:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 07:50:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 07:55:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 08:00:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 08:05:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 08:10:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 08:15:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 08:20:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 08:25:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 08:30:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 08:35:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 08:40:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 08:45:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 08:50:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 08:55:00,1.993838650930076e-08,False,0.0,False
B1-O01,2026-01-15 09:00:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 09:05:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 09:10:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 09:15:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 09:20:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 09:25:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 09:30:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 09:35:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 09:40:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 09:45:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 09:50:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 09:55:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 10:00:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 10:05:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 10:10:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 10:15:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 10:20:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 10:25:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 10:30:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 10:35:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 10:40:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 10:45:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 10:50:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 10:55:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 11:00:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 11:05:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 11:10:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 11:15:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 11:20:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 11:25:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 11:30:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 11:35:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 11:40:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 11:45:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 11:50:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 11:55:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 12:00:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 12:05:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 12:10:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 12:15:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 12:20:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 12:25:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 12:30:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 12:35:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 12:40:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 12:45:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 12:50:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 12:55:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 13:00:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 13:05:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 13:10:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 13:15:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 13:20:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 13:25:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 13:30:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 13:35:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 13:40:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 13:45:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 13:50:00,2.2315296619048964e-08,False,0.0,False
B1-O01,2026-01-15 13:55:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 14:00:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 14:05:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 14:10:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 14:15:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 14:20:00,2.1696386851203478e-08,False,0.0,False
B1-O01,2026-01-15 14:25:00,2.2315296619048964e-08,False,0.0,False
