worker_id,timestamp,zone_id
W01,2026-01-15 06:00:00,EXHAUSTER-HOUSE
W01,2026-01-15 06:05:00,EXHAUSTER-HOUSE
W01,2026-01-15 06:10:00,EXHAUSTER-HOUSE
W01,2026-01-15 06:15:00,B1-Z04
W01,2026-01-15 06:20:00,B1-Z04
W01,2026-01-15 06:25:00,B1-Z04
W01,2026-01-15 06:30:00,B1-Z04
W01,2026-01-15 06:35:00,B1-Z04
W01,2026-01-15 06:40:00,B1-Z03
W01,2026-01-15 06:45:00,B1-Z03
W01,2026-01-15 06:50:00,B1-Z03
W01,2026-01-15 06:55:00,B1-Z03
W01,2026-01-15 07:00:00,B1-Z03
W01,2026-01-15 07:05:00,B1-Z04
W01,2026-01-15 07:10:00,B1-Z04
W01,2026-01-15 07:15:00,B1-Z04
W01,2026-01-15 07:20:00,B1-Z04
W01,2026-01-15 07:25:00,COAL-CHEM-PLANT
W01,2026-01-15 07:30:00,COAL-CHEM-PLANT
W01,2026-01-15 07:35:00,COAL-CHEM-PLANT
W01,2026-01-15 07:40:00,COAL-CHEM-PLANT
W01,2026-01-15 07:45:00,COAL-CHEM-PLANT
W01,2026-01-15 07:50:00,COAL-CHEM-PLANT
W01,2026-01-15 07:55:00,COAL-CHEM-PLANT
W01,2026-01-15 08:00:00,COAL-CHEM-PLANT
W01,2026-01-15 08:05:00,EXHAUSTER-HOUSE
W01,2026-01-15 08:10:00,EXHAUSTER-HOUSE
W01,2026-01-15 08:15:00,EXHAUSTER-HOUSE
W01,2026-01-15 08:20:00,B1-Z02
W01,2026-01-15 08:25:00,B1-Z02
W01,2026-01-15 08:30:00,B1-Z02
W01,2026-01-15 08:35:00,B1-Z02
W01,2026-01-15 08:40:00,EXHAUSTER-HOUSE
W01,2026-01-15 08:45:00,EXHAUSTER-HOUSE
W01,2026-01-15 08:50:00,EXHAUSTER-HOUSE
W01,2026-01-15 08:55:00,EXHAUSTER-HOUSE
W01,2026-01-15 09:00:00,B1-Z06
W01,2026-01-15 09:05:00,B1-Z06
W01,2026-01-15 09:10:00,B1-Z06
W01,2026-01-15 09:15:00,B1-Z06
W01,2026-01-15 09:20:00,B1-Z06
W01,2026-01-15 09:25:00,EXHAUSTER-HOUSE
W01,2026-01-15 09:30:00,EXHAUSTER-HOUSE
W01,2026-01-15 09:35:00,EXHAUSTER-HOUSE
W01,2026-01-15 09:40:00,EXHAUSTER-HOUSE
W01,2026-01-15 09:45:00,EXHAUSTER-HOUSE
W01,2026-01-15 09:50:00,EXHAUSTER-HOUSE
